--- Step 04650 | Actual: Kutztown, US ---
  1.  73.5% |  5861 km | Guess: (-12.12, -77.02)
  2.   0.0% | 13708 km | Guess: ( 16.03, 108.23)
  3.   0.0% |  3532 km | Guess: (  8.98, -79.53)

--- Step 04663 | Actual: Nice, FR ---
  1.  19.1% | 10481 km | Guess: (-12.12, -77.02)
  2.   0.1% | 10957 km | Guess: (-35.25, -57.68)
  3.   0.1% | 10482 km | Guess: (-12.10, -77.04)

--- Step 04675 | Actual: South Park, US ---
  1.  68.5% |  7063 km | Guess: (-12.12, -77.02)
  2.   0.1% |  4882 km | Guess: (  8.98, -79.53)
  3.   0.1% |  9488 km | Guess: ( 48.70,  44.44)

--- Step 04688 | Actual: Lehe, DE ---
  1.  64.5% | 10708 km | Guess: (-12.12, -77.02)
  2.   0.1% |  7556 km | Guess: ( 12.89,  77.67)
  3.   0.1% | 11642 km | Guess: (-35.25, -57.68)

--- Step 04700 | Actual: Severnoye, RU ---
  1.  69.2% | 13610 km | Guess: (-12.12, -77.02)
  2.   0.0% |  2574 km | Guess: ( 40.83,  24.30)
  3.   0.0% | 13635 km | Guess: (-27.42, -55.88)

--- Step 04713 | Actual: Thones, FR ---
  1.  69.6% | 10465 km | Guess: (-12.12, -77.02)
  2.   0.1% |  7865 km | Guess: ( 61.60, -149.11)
  3.   0.1% | 10277 km | Guess: (-27.42, -55.88)

--- Step 04725 | Actual: Colorado Springs, US ---
  1.  62.0% |  6356 km | Guess: (-12.12, -77.02)
  2.   0.1% |  7730 km | Guess: ( 41.23,  -8.56)
  3.   0.1% |  9452 km | Guess: ( 35.29, 139.58)

--- Step 04738 | Actual: Summerlin South, US ---
  1.  53.9% |  6711 km | Guess: (-12.12, -77.02)
  2.   0.1% |  9301 km | Guess: ( 52.29,  21.04)
  3.   0.1% |  8905 km | Guess: ( 43.30,  -1.90)

--- Step 04750 | Actual: Dietikon / Hofacker, CH ---
  1.  59.6% | 10657 km | Guess: (-12.12, -77.02)
  2.   0.1% |  2196 km | Guess: ( 56.00,  37.44)
  3.   0.1% |  2151 km | Guess: ( 62.59,  29.82)

--- Step 04763 | Actual: Girardi-Bellavista-Terrazze, IT ---
  1.  48.4% | 10874 km | Guess: (-12.12, -77.02)
  2.   0.1% |  2360 km | Guess: ( 56.00,  37.44)
  3.   0.1% |  8131 km | Guess: ( 30.30, -81.72)

--- Step 04775 | Actual: Burea, SE ---
  1.  73.9% | 11616 km | Guess: (-12.12, -77.02)
  2.   0.0% | 12981 km | Guess: (-34.65, -58.41)
  3.   0.0% |  9612 km | Guess: (  8.98, -79.53)

--- Step 04788 | Actual: Brasilia, BR ---
  1.  47.2% |  3170 km | Guess: (-12.12, -77.02)
  2.   0.1% |  2348 km | Guess: (-34.65, -58.41)
  3.   0.1% | 10246 km | Guess: ( 45.77,  28.57)

--- Step 04800 | Actual: Zaton, HR ---
  1.  76.7% | 11163 km | Guess: (-12.12, -77.02)
  2.   0.0% | 11507 km | Guess: (-34.65, -58.41)
  3.   0.0% |  3687 km | Guess: ( 26.24,  50.61)

--- Step 04813 | Actual: Srandakan, ID ---
  1.  40.2% | 17656 km | Guess: (-12.12, -77.02)
